ID_country|ISO_country|NAME_country|NAME_PRINT_country|ISO3_country|CODE_country|NAME_ESP_country|id_city|region_id|name_place|short_name_place|slug_place|group_id_place|province_id_place|group_slug_place|latitude|longitude|country_host_id_place|
94|IR|IRAN, ISLAMIC REPUBLIC OF|Iran, Islamic Republic of|IRN|364|República Islámica de Irán|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
95|IQ|IRAQ|Iraq|IRQ|368|Irak|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
96|IE|IRELAND|Ireland|IRL|372|Irlanda|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
97|IL|ISRAEL|Israel|ISR|376|Israel|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
98|IT|ITALY|Italy|ITA|380|Italia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
99|JM|JAMAICA|Jamaica|JAM|388|Jamaica|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
100|JP|JAPAN|Japan|JPN|392|Japón|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
101|JO|JORDAN|Jordan|JOR|400|Jordán|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
102|KZ|KAZAKHSTAN|Kazakhstan|KAZ|398|Kazajstán|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
103|KE|KENYA|Kenya|KEN|404|Kenia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
104|KI|KIRIBATI|Kiribati|KIR|296|Kiribati|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
105|KP|KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF|Korea, Democratic People's Republic of|PRK|408|República Popular Democrática de Corea|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
106|KR|KOREA, REPUBLIC OF|Korea, Republic of|KOR|410|República de Corea|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
107|KW|KUWAIT|Kuwait|KWT|414|Kuwait|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
108|KG|KYRGYZSTAN|Kyrgyzstan|KGZ|417|Kirguistán|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23915|23914|Azul|Azul|azul|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23916|23914|Bahía Blanca|Bahía Blanca|bahia-blanca|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23917|23914|Banfield|Banfield|banfield|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23918|23914|Béccar|Béccar|beccar|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23919|23914|Belén de Escobar|Belén de Escobar|belen-de-escobar|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23920|23914|Bella Vista|Bella Vista|bella-vista|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23921|23914|Berazategui|Berazategui|berazategui|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23922|23914|Berisso|Berisso|berisso|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23923|23914|Bernal|Bernal|bernal|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23924|23914|Bosques|Bosques|bosques|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23925|23914|Boulogne Sur Mer|Boulogne Sur Mer|boulogne-sur-mer|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23926|23914|Burzaco|Burzaco|burzaco|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23927|23914|Campana|Campana|campana|NULL|NULL|otros|NULL|NULL|1||
